DAUID,Province,DA Population,Residential Instability,Ethno-cultural Composition,Economic Dependency,Situational Vulnerability
35420254,Ontario,390,-0.835,-0.741,0.44,-0.152
35420255,Ontario,510,-0.625,-0.883,0.416,-0.749
35420256,Ontario,435,-0.418,-0.652,-0.329,-0.181
35420257,Ontario,495,1.142,-0.368,0.634,0.965
35420258,Ontario,755,0.476,-0.451,1.017,0.284
35420259,Ontario,520,0.435,-0.223,0.283,0.409
35420260,Ontario,525,-0.38,-0.49,1.167,0.122
35420261,Ontario,465,-0.193,-0.727,0.71,0.125
35420262,Ontario,660,0.91,-0.603,-0.049,0.712
35420263,Ontario,530,1.162,-0.408,-0.699,0.928
35420264,Ontario,460,1.642,-0.041,0.366,1.042
35420265,Ontario,550,-0.156,-0.865,-0.608,0.06
35420266,Ontario,565,-0.981,-0.826,0.471,-0.921
35420267,Ontario,585,-0.542,-0.704,0.038,-0.249
35420268,Ontario,540,-0.456,-0.616,0.437,-0.354
35420269,Ontario,650,-1.081,0.426,-0.165,0.996
35420270,Ontario,550,-0.639,-0.515,0.58,-0.162
35420271,Ontario,600,-0.22,-0.136,0.074,0.441
35420272,Ontario,630,-0.498,0.142,-0.129,0.431
35420273,Ontario,570,-0.042,-0.456,-0.133,-0.099
35420274,Ontario,1460,0.213,0.449,-0.682,-0.093
35420275,Ontario,375,0.397,-0.549,-0.216,0.483
35420276,Ontario,815,-0.42,-0.197,-0.356,0.634
35420277,Ontario,455,-0.475,-0.284,-0.064,0.166
35420278,Ontario,580,-0.798,-0.14,-0.818,0.577
35420279,Ontario,590,-0.838,-0.384,-0.193,0.257
35420280,Ontario,515,-0.965,-0.23,-0.678,0.077
35420281,Ontario,655,-1.397,-0.336,-0.065,-0.095
35420282,Ontario,785,-0.683,-0.637,-0.079,-0.186
35420283,Ontario,485,-0.605,-0.542,0.735,0.097
35420284,Ontario,470,-0.304,-0.499,0.028,0.125
35420285,Ontario,720,-0.648,-0.501,1.234,-0.331
35420286,Ontario,560,-0.028,-0.655,0.878,0.229
35420287,Ontario,345,0.274,-0.892,1.428,-0.591
35420288,Ontario,480,-0.373,-0.599,0.808,0.452
35420289,Ontario,530,0.811,-0.753,0.893,0.735
35420290,Ontario,535,0.084,-0.767,0.706,-0.04
35420291,Ontario,650,-0.705,-0.469,0.703,-0.292
35420292,Ontario,720,-0.428,-0.664,0.299,-0.168
35420293,Ontario,615,-0.659,-0.579,0.236,-0.826
35420294,Ontario,500,-0.599,-0.609,0.566,-0.379
35420295,Ontario,680,-0.682,-0.676,0.232,-0.087
35420296,Ontario,495,-0.553,-0.656,0.273,0.233
35420297,Ontario,635,-0.608,-0.742,-0.413,-0.729
35420298,Ontario,485,-0.828,-0.723,0.465,-0.256
35420299,Ontario,475,-1.194,-0.751,0.346,-0.362
35420300,Ontario,660,-0.757,-0.636,0.276,-0.356
35420301,Ontario,460,-0.406,-0.744,1.019,-0.664
35420302,Ontario,460,0.053,-0.652,1.3,-0.337
35420303,Ontario,450,0.301,-0.491,-0.428,0.982
35420304,Ontario,440,0.492,-0.622,0.407,0.759
35420305,Ontario,515,0.941,-0.011,1.152,-0.051
35420306,Ontario,425,0.833,-0.879,-0.056,0.654
35420307,Ontario,415,-0.692,-0.904,0.562,-0.395
35420308,Ontario,575,1.332,-0.476,1.14,0.632
35420309,Ontario,1015,-0.145,-0.798,1.711,-0.606
35420310,Ontario,480,-0.908,-0.798,1.186,-0.602
35420311,Ontario,495,-0.545,-0.824,0.377,-0.39
35420312,Ontario,660,0.749,-0.49,-0.59,0.537
35420313,Ontario,510,1.396,-0.531,0.848,0.416
35420314,Ontario,730,-0.17,-0.705,0.826,0.034
35420315,Ontario,580,-0.645,-0.867,0.467,-0.744
35420316,Ontario,500,-0.367,-0.733,0.871,0.109
35420317,Ontario,495,-0.241,-0.815,-0.482,-0.316
35420318,Ontario,485,-0.541,-0.791,-0.601,0.674
35420319,Ontario,425,-0.426,-0.828,0.439,0.234
35420320,Ontario,470,-0.716,-0.719,0.065,0.908
35420321,Ontario,455,-0.595,-0.62,-0.202,0.974
35420322,Ontario,605,-0.83,-0.573,0.515,-0.133
35420323,Ontario,510,-0.864,-0.37,0.793,-0.369
35420324,Ontario,540,-0.801,-0.957,-0.476,-0.154
35420325,Ontario,415,-0.8,-0.972,0.564,-1.066
35420326,Ontario,520,-0.747,-0.726,0.163,-0.034
35420327,Ontario,670,1.212,-0.508,0.631,1.589
35420328,Ontario,505,-0.451,-0.638,-0.185,0.232
35420329,Ontario,370,0.526,-0.801,0.057,-0.025
35420330,Ontario,485,0.179,-0.703,-0.755,0.113
35420331,Ontario,575,-0.851,-0.748,0.189,-0.691
35420332,Ontario,605,-0.803,-0.695,-0.295,-0.604
35420333,Ontario,495,-0.437,-0.771,0.118,0.058
35420334,Ontario,740,-0.58,-0.612,-0.521,-0.454
35420335,Ontario,545,-0.674,-0.829,1.032,-0.277
35420336,Ontario,405,-0.656,-0.849,0.705,-0.069
35430548,Ontario,760,-0.584,-0.634,0.915,-0.194
35430550,Ontario,680,-0.282,-0.627,-0.375,4.306
35430552,Ontario,650,-0.689,-0.587,2.505,-0.564
35430553,Ontario,530,-0.865,-0.723,0.48,0.322
35430554,Ontario,585,-0.873,-0.808,0.092,0.781
35430555,Ontario,535,-0.501,-0.675,1.944,-0.206
35430557,Ontario,1095,0.071,-0.435,1.071,0.806
35430558,Ontario,395,-0.341,-0.665,0.452,0.764
35430559,Ontario,440,1.669,-0.236,1.482,1.865
35430560,Ontario,730,0.678,-0.656,1.38,0.548
35430561,Ontario,395,0.354,-0.597,-0.757,1.109
35430562,Ontario,415,-0.288,-0.499,0.892,1.395
35430563,Ontario,645,-0.604,-0.637,1.865,-0.025
35430564,Ontario,490,-0.473,-0.756,1.571,-0.14
35430565,Ontario,575,-1.11,-0.734,1.191,0.304
35430566,Ontario,405,-0.195,-0.69,0.514,0.77
35430567,Ontario,425,-0.864,-0.838,-0.324,0.246
35430568,Ontario,620,0.096,-0.74,2.933,-0.559
35430569,Ontario,430,-0.012,-0.767,0.882,-0.053
35430570,Ontario,595,-0.417,-0.696,0.518,0.476
35430571,Ontario,495,0.295,-0.47,0.374,1.158
35430572,Ontario,420,-0.128,-0.878,0.368,0.428
35430573,Ontario,635,-0.248,-0.553,0.666,0.059
35430574,Ontario,925,0.666,-0.386,0.883,0.411
35430575,Ontario,775,-1.034,-0.208,0.54,-0.301
35430576,Ontario,495,-0.453,-0.6,0.425,-0.253
35430579,Ontario,460,0.048,-0.581,0.556,0.374
35430580,Ontario,370,-0.354,-0.647,-0.124,-0.12
35430581,Ontario,385,0.07,-0.557,-0.664,1.197
35430582,Ontario,370,2.224,-0.306,0.997,2.028
35430583,Ontario,425,0.86,-0.616,0.834,0.719
35430584,Ontario,475,1.67,-0.258,0.689,0.753
35430585,Ontario,500,0.152,-0.686,-0.144,0.883
35430586,Ontario,530,0.343,-0.672,0.106,0.579
35430587,Ontario,370,0.573,0.048,0.105,1.368
35430588,Ontario,460,0.605,-0.665,0.307,0.735
35430589,Ontario,465,0.099,-0.318,0.176,1.185
35430590,Ontario,450,-0.131,-0.573,0.645,0.492
35430591,Ontario,475,-0.236,-0.4,0.152,0.917
35430592,Ontario,385,-0.388,-0.39,0.112,0.036
35430593,Ontario,700,0.12,-0.007,0.057,0.122
35430594,Ontario,410,-0.137,-0.153,2.742,-1.344
35430595,Ontario,430,0.701,-0.666,1.999,0.024
35430596,Ontario,495,0.256,-0.656,0.21,0.413
35430597,Ontario,395,0.294,-0.398,1.015,1.481
35430598,Ontario,355,0.349,-0.678,0.032,0.845
35430599,Ontario,370,0.86,-0.52,0.412,1.228
35430600,Ontario,525,-0.522,-0.598,-0.254,0.552
35430601,Ontario,535,0.704,-0.554,4.538,-0.069
35430602,Ontario,350,-0.668,-0.746,0.574,0.092
35430603,Ontario,525,-0.79,-0.792,1.048,-0.013
35430604,Ontario,365,-0.746,-0.819,0.151,0.58
35430605,Ontario,375,0.061,-0.572,0.14,1.188
35430606,Ontario,435,0.337,-0.713,0.369,0.434
35430608,Ontario,440,-0.376,-0.571,-0.108,1.589
35430609,Ontario,775,-0.569,-0.754,-0.127,0.033
35430610,Ontario,760,-0.377,-0.61,-0.029,-0.184
35430611,Ontario,725,-0.172,-0.649,0.765,0.561
35430612,Ontario,1560,-0.749,-0.581,0.826,-0.038
35430613,Ontario,610,-0.827,-0.645,0.108,0.118
35430614,Ontario,470,-1.004,-0.6,-0.081,0.335
35430615,Ontario,525,-0.265,-0.871,1.362,0.049
35430616,Ontario,480,-0.888,-0.776,-0.134,-0.338
35430617,Ontario,335,-0.22,-0.427,-0.007,0.875
35430619,Ontario,620,-0.598,-0.621,-0.748,-0.468
35430621,Ontario,595,-0.79,-0.581,0.414,0.239
35430622,Ontario,485,-0.564,-0.768,-0.187,-0.272
35430623,Ontario,495,0.132,-0.625,-0.12,0.377
35430624,Ontario,600,-0.653,-0.525,0.767,0.174
35430625,Ontario,440,-0.209,-0.793,-0.17,0.102
35430626,Ontario,500,0.467,-0.751,1.962,0.133
35430627,Ontario,420,-1.169,-0.537,-0.518,-0.01
35430628,Ontario,415,-0.875,-0.446,0.417,-0.619
35430629,Ontario,895,-0.779,-0.624,-0.743,-0.572
35430630,Ontario,565,-1.003,-0.725,0.111,-0.487
35430631,Ontario,455,-0.791,-0.698,0.022,-0.707
35430632,Ontario,705,-0.84,-0.655,-0.267,-0.573
35430633,Ontario,620,-0.306,-0.79,-0.159,-0.627
35430634,Ontario,1035,-0.875,-0.643,-0.286,-1.097
35430635,Ontario,1280,-0.961,-0.563,-0.685,-0.647
35430636,Ontario,785,-0.777,-0.608,-0.294,-0.766
35430637,Ontario,1310,-0.873,-0.598,-0.184,-0.798
35430638,Ontario,480,-0.736,-0.712,0.011,-0.577
35430639,Ontario,585,-0.433,-0.733,-0.742,-0.222
35430640,Ontario,485,-1.128,-0.685,-0.115,-0.326
35430641,Ontario,460,-0.78,-0.658,-0.016,-0.5
35430642,Ontario,520,-0.881,-0.672,-0.688,-0.722
35430643,Ontario,395,-1.351,-0.635,0.11,-1.005
35430644,Ontario,465,-0.816,-0.429,-0.597,-0.824
35430645,Ontario,710,-0.95,-0.609,-0.131,-0.721
35430646,Ontario,735,-0.669,-0.402,-0.456,-0.769
35430647,Ontario,900,-0.432,0.424,0.072,-0.305
35430648,Ontario,535,-0.384,-0.156,-0.965,-0.341
35430649,Ontario,430,-0.492,-0.043,-1.127,-0.015
35430650,Ontario,665,-0.835,-0.102,-0.031,-0.584
35430651,Ontario,490,-1.08,0.054,-0.043,-0.311
35430652,Ontario,515,-0.508,-0.37,0.175,-0.26
35430653,Ontario,495,-0.566,-0.349,0.291,-0.328
35430654,Ontario,460,-0.258,-0.635,-0.266,-0.397
35430655,Ontario,605,0.07,-0.324,-0.624,0.825
35430656,Ontario,480,-0.155,-0.049,-0.183,1.158
35430657,Ontario,1285,-0.554,-0.087,-0.434,-0.097
35430658,Ontario,325,-0.384,-0.071,-0.612,-0.248
35430659,Ontario,520,-0.633,-0.174,-0.248,-0.789
35430660,Ontario,545,-0.449,-0.119,-0.635,-0.302
35430661,Ontario,720,-0.378,-0.279,-0.679,-0.469
35430662,Ontario,525,0.01,0.134,-0.313,-0.21
35430663,Ontario,375,-0.21,-0.105,-1.573,0.082
35430664,Ontario,670,-0.53,0.132,-0.869,-0.46
35430665,Ontario,330,-0.564,-0.019,-0.167,-0.016
35430666,Ontario,520,-0.112,0.133,-1.122,-0.65
35430667,Ontario,490,-0.724,-0.054,-1.351,-0.37
35430668,Ontario,630,-0.678,0.03,-1.635,-0.01
35430669,Ontario,1400,0.787,-0.256,0.679,-0.793
35430670,Ontario,1300,-0.753,0.007,-1.582,-0.497
35430671,Ontario,400,-0.14,-0.221,-1.552,-0.102
35430672,Ontario,625,-0.153,0.004,-1.483,0.066
35430673,Ontario,330,0.3,-0.235,-0.236,0.079
35430674,Ontario,355,-0.742,0.032,-0.053,0.048
35430675,Ontario,425,-0.536,-0.203,-0.871,-0.567
35430676,Ontario,365,-0.913,-0.244,0.006,0.256
35430677,Ontario,400,-0.301,0.037,0.031,-0.114
35430678,Ontario,640,0.608,-0.174,-0.905,-0.146
35430679,Ontario,385,-0.382,0.127,-0.008,-0.095
35430680,Ontario,420,0.364,-0.023,-0.467,0.875
35430681,Ontario,395,1.286,0.39,-0.276,0.041
35430682,Ontario,910,1.529,0.023,-0.906,0.213
35430683,Ontario,585,-0.391,-0.239,-1.161,-0.148
35430684,Ontario,365,-0.841,-0.469,-1.121,-0.714
35430685,Ontario,660,0.358,0.095,-1.049,-0.545
35430686,Ontario,940,-0.627,-0.08,-0.611,-0.699
35430687,Ontario,805,-0.971,-0.354,-0.992,-0.859
35430688,Ontario,605,-0.907,0.209,0.189,-0.688
35430689,Ontario,535,-0.583,0.106,-0.079,-0.183
35430690,Ontario,1220,0.031,0.115,-0.88,-0.619
35430691,Ontario,425,-0.075,-0.413,-0.406,-0.169
35430693,Ontario,605,-0.124,-0.3,-1.026,-0.113
35430694,Ontario,525,-0.412,0.468,-0.322,0.201
35430696,Ontario,515,-0.481,0.375,-0.712,0.611
35430698,Ontario,575,-0.431,0.27,-0.584,-0.074
35430699,Ontario,635,-0.257,0.253,-1.11,0.098
35430700,Ontario,545,0.244,-0.27,-0.789,0.113
35430701,Ontario,640,-0.456,0.087,-0.791,0.562
35430702,Ontario,500,-0.257,-0.33,-1.209,-0.41
35430703,Ontario,385,0.287,0.069,-1.344,0.579
35430704,Ontario,505,-0.779,0.386,-1.035,-0.197
35430705,Ontario,520,-0.161,-0.089,-1.21,-0.177
35430706,Ontario,750,0.166,0.215,-0.996,0.481
35430707,Ontario,690,-0.33,-0.216,-0.712,-0.314
35430708,Ontario,575,-0.46,0.158,-0.756,0.226
35430709,Ontario,295,-0.313,-0.39,-1.205,0
35430710,Ontario,410,-0.698,-0.479,-0.833,-0.322
35430711,Ontario,530,-0.591,0.149,-0.042,-0.592
35430712,Ontario,490,-0.361,-0.094,-1.196,-0.135
35430713,Ontario,500,-0.638,0.134,-0.963,-0.378
35430714,Ontario,595,-0.726,-0.295,-1.463,-0.367
35430715,Ontario,600,-0.532,-0.654,-0.369,-0.761
35430716,Ontario,575,-0.873,-0.518,-0.777,-0.24
35430717,Ontario,645,-0.577,-0.652,-0.277,-0.524
35430719,Ontario,1155,-0.169,0.053,-0.55,0.329
35430720,Ontario,660,-0.699,-0.564,-0.328,-0.223
35430721,Ontario,455,-0.624,-0.597,-0.879,0.512
35430722,Ontario,1820,-0.142,0.02,-0.343,-0.047
35430723,Ontario,610,-0.252,-0.436,-0.668,0.626
35430724,Ontario,545,-0.53,-0.574,-0.116,0.254
35430725,Ontario,375,-0.418,-0.71,-0.878,-0.305
35430726,Ontario,845,-0.35,-0.497,-0.319,-0.238
35430727,Ontario,515,-0.702,-0.422,-0.904,-0.26
35430728,Ontario,445,0.185,-0.505,-0.096,0.271
35430729,Ontario,630,-0.019,-0.42,0.236,0.557
35430730,Ontario,345,0.866,-1.505,-2.185,1.804
35430731,Ontario,395,0.676,-0.498,-2.056,0.384
35430732,Ontario,165,1.347,-1.325,-2.165,1.181
35430733,Ontario,300,0.772,-1.404,-2.098,1.565
35430734,Ontario,250,1.015,-1.727,-2.481,1.423
35430735,Ontario,320,0.812,-0.447,-2.093,-0.156
35430740,Ontario,665,-0.458,-0.397,-0.702,0.072
35430741,Ontario,450,-0.762,-0.608,-0.892,0.195
35430742,Ontario,520,-0.797,0.159,-0.796,0.174
35430743,Ontario,675,-1.34,-0.63,0.472,-0.681
35430744,Ontario,885,-0.904,-0.449,-0.887,-0.508
35430745,Ontario,715,-0.806,-0.665,-0.306,-0.067
35430746,Ontario,525,-0.154,-0.218,-0.874,-0.246
35430747,Ontario,1320,-0.208,0.28,-0.396,-0.399
35430748,Ontario,500,-0.605,-0.659,-0.002,-0.614
35430749,Ontario,505,-0.774,-0.522,-0.51,-0.052
35430750,Ontario,510,-0.686,0.202,-0.64,-0.255
35430753,Ontario,965,-0.745,0.385,-1.504,-0.346
35430754,Ontario,395,-0.614,0.527,-0.633,-0.329
35430755,Ontario,365,-0.666,-0.164,-0.079,-0.003
35430756,Ontario,415,-0.326,0.49,0.46,-0.305
35430757,Ontario,390,0.274,-0.053,0.151,0.152
35430758,Ontario,320,0.857,0.991,-0.177,0.543
35430759,Ontario,610,1.573,0.032,1.614,0.375
35430760,Ontario,455,1.028,1.289,0.036,0.31
35430761,Ontario,405,0.126,0.076,-1.164,-0.183
35430762,Ontario,375,-0.542,0.456,0.289,-0.282
35430763,Ontario,355,-0.169,0.315,-0.049,0.568
35430764,Ontario,940,-0.84,0.156,-0.342,-0.578
35430765,Ontario,1010,-0.792,0.284,-1.168,-0.397
35430766,Ontario,535,-0.467,0.165,-0.626,-0.522
35430767,Ontario,385,-1.178,0.002,-0.617,-0.712
35430768,Ontario,530,-0.455,-0.227,-0.58,-0.52
35430769,Ontario,635,-0.809,0.044,-0.448,-0.067
35430770,Ontario,565,0.002,0.304,1.112,0.095
35430771,Ontario,255,-0.353,0.36,0.215,0.183
35430772,Ontario,305,-0.243,1.158,0.434,-0.022
35430773,Ontario,545,0.007,0.844,0.106,-0.06
35430774,Ontario,505,-0.519,0.636,0.072,0.388
35430775,Ontario,485,-0.497,0.048,-0.452,0.452
35430776,Ontario,415,-0.835,0.205,-0.047,-0.38
35430778,Ontario,640,-1.005,0.337,-1.066,-0.379
35430781,Ontario,2535,-0.391,1.104,-0.511,-0.534
35430782,Ontario,635,-0.59,0.227,-0.04,-0.115
35430783,Ontario,340,-1.181,-0.308,-0.086,-0.579
35430784,Ontario,560,-1.061,-0.341,-0.422,-1.001
35430785,Ontario,585,-0.894,-0.15,-0.288,-0.149
35430786,Ontario,525,-1.001,-0.695,-0.38,-0.926
35430787,Ontario,1695,-0.748,0.335,-0.667,-0.507
35430788,Ontario,3165,-0.249,0.363,-1.535,-0.664
35430789,Ontario,590,-0.777,-0.135,0.618,-0.565
35430790,Ontario,530,-0.509,-0.397,3.161,-0.83
35430791,Ontario,410,-0.783,-0.329,-1.011,-0.327
35430792,Ontario,520,0.257,-0.189,0.174,0.27
35430793,Ontario,590,-0.638,-0.259,-1.087,-0.175
35430794,Ontario,665,-0.362,-0.057,-0.054,-0.273
35430795,Ontario,425,0.334,-0.348,-0.324,-0.109
35430796,Ontario,515,0.083,-0.347,0.342,-0.013
35430797,Ontario,1490,-0.631,-0.282,-1.217,-0.239
35430798,Ontario,430,-0.932,-0.519,-0.898,-0.73
35430799,Ontario,295,-0.209,-0.099,-1.28,-0.515
35430800,Ontario,515,-0.403,-0.431,-0.902,-0.135
35430801,Ontario,750,-0.852,-0.193,-0.646,-0.116
35430802,Ontario,375,-0.907,-0.576,-0.307,-0.241
35430803,Ontario,545,-0.865,-0.19,-0.384,-0.188
35430804,Ontario,660,-0.685,-0.022,-0.67,-0.42
35430805,Ontario,575,-0.878,-0.07,-0.265,-0.176
35430806,Ontario,430,-0.703,-0.62,-1.015,-0.346
35430807,Ontario,685,-0.666,-0.452,0.279,-0.761
35430808,Ontario,525,-0.959,-0.542,0.015,-0.48
35430809,Ontario,620,-1.015,-0.217,-0.248,-0.592
35430810,Ontario,540,-0.891,-0.382,-0.286,-0.555
35430811,Ontario,785,-0.605,0.03,-1.13,-0.494
35430812,Ontario,435,-0.133,-0.421,0.037,-0.604
35430813,Ontario,545,-0.588,0.013,-0.643,-0.06
35430814,Ontario,540,0.092,-0.792,-1.251,-0.484
35430815,Ontario,390,-0.597,-0.336,-0.759,-0.082
35430816,Ontario,650,-0.682,-0.377,-0.732,-0.577
35430817,Ontario,485,-0.532,-0.604,-0.607,-0.081
35430818,Ontario,390,-1.103,-0.292,-0.871,-0.173
35430819,Ontario,370,-0.964,-0.767,-0.162,-0.266
35430821,Ontario,2030,-0.818,-0.556,4.486,-1.4
35430822,Ontario,425,-0.412,-0.798,4.634,-0.882
35430824,Ontario,375,-0.881,-0.326,0.643,-0.065
35430827,Ontario,585,1.633,-0.106,-0.289,0.191
35430828,Ontario,430,-0.425,-0.516,-0.814,-0.087
35430829,Ontario,490,-0.101,-0.414,0.032,0.603
35430830,Ontario,525,1.194,-0.187,0.285,0.632
35430832,Ontario,370,-0.519,-0.195,-0.504,-0.687
35430836,Ontario,435,1.656,-0.606,0.696,-0.383
35430837,Ontario,520,-0.702,-0.495,-0.059,-0.063
35430838,Ontario,500,-0.829,-0.579,-0.693,-0.305
35430839,Ontario,1090,-0.402,0.564,-0.877,-0.042
35430840,Ontario,925,-0.063,1.284,-0.699,-0.146
35430841,Ontario,610,-0.492,-0.39,-0.419,0.182
35430842,Ontario,2095,-0.22,0.024,-1,-0.022
35430843,Ontario,365,1.393,-0.823,1.025,-0.59
35430844,Ontario,420,-0.28,-0.32,0.215,0.131
35430845,Ontario,680,-1.08,-0.619,-0.197,-0.696
35430846,Ontario,500,-0.585,-0.508,-0.932,0.145
35430847,Ontario,560,-1.067,-0.463,-0.266,-0.518
35430848,Ontario,410,-0.965,-0.661,0.568,-0.36
35430849,Ontario,900,-0.956,-0.449,-0.551,-0.014
35430850,Ontario,515,-1.081,-0.586,-0.65,-0.116
35430851,Ontario,520,-0.651,-0.577,-0.318,0.147
35430852,Ontario,535,-1.036,-0.677,-0.718,-0.233
35430853,Ontario,475,-0.844,-0.719,-0.4,0.31
35430854,Ontario,480,-0.859,-0.706,-0.192,0.259
35430855,Ontario,500,-0.863,-0.491,-0.108,0.184
35430856,Ontario,585,-0.698,-0.351,-0.426,0.225
35430857,Ontario,420,-0.541,-0.814,-0.808,-0.41
35430858,Ontario,595,-0.241,-0.67,0.39,-0.225
35430859,Ontario,460,-0.7,-0.688,-0.456,-0.318
35430860,Ontario,315,-0.38,-0.877,-0.045,-0.328
35430861,Ontario,360,0.953,-0.662,0.123,0.529
35430862,Ontario,450,-0.113,-0.585,-0.552,-0.059
35430863,Ontario,470,-0.648,-0.744,1.315,-0.197
35430864,Ontario,595,-0.09,-0.429,-0.313,0.538
35430865,Ontario,880,-0.156,-0.392,-0.739,0.548
35430866,Ontario,1050,-0.494,-0.173,-0.109,-0.359
35430867,Ontario,1935,-0.49,-0.236,1.035,-0.451
35430868,Ontario,835,-0.102,-0.305,0.52,0.39
35430869,Ontario,1100,-0.416,-0.607,0.356,-0.436
35430870,Ontario,1175,-0.445,-0.542,1.773,-0.819
35430871,Ontario,465,-0.475,-0.648,0.023,-0.126
35430872,Ontario,495,-0.88,-0.891,-0.454,-0.766
35430873,Ontario,2355,-0.282,-0.277,-0.657,-0.639
35430874,Ontario,455,-0.598,-0.742,-0.37,-0.843
35430875,Ontario,365,-0.059,-0.916,0.34,-0.096
35430876,Ontario,530,-0.13,-0.399,-0.063,0.248
35430877,Ontario,505,-0.262,-0.539,0.067,-0.208
35430878,Ontario,540,0.053,-0.538,-0.279,0.322
35430879,Ontario,470,0.584,-0.705,0.334,-0.011
35430880,Ontario,400,1.206,-0.316,0.098,1.147
35430881,Ontario,510,1.537,-0.384,2.242,-0.157
35430882,Ontario,380,-0.192,-0.474,1.182,0.129
35430883,Ontario,495,0.008,-0.489,-0.371,0.238
35430884,Ontario,495,0.169,-0.324,0.466,0.408
35430885,Ontario,505,0.014,-0.675,0.538,-0.479
35430886,Ontario,435,0.548,-0.509,-0.12,-0.085
35430887,Ontario,560,-0.104,-0.559,-0.288,-0.348
35430888,Ontario,570,0.589,-0.467,2.136,-0.959
35430889,Ontario,390,0.703,-0.442,0.065,0.251
35430890,Ontario,490,0.155,-0.399,-0.029,0.216
35430891,Ontario,510,0.202,-0.406,1.884,-0.164
35430892,Ontario,310,0.183,-0.508,-0.151,-0.444
35430893,Ontario,350,1.253,-0.133,2.63,1.612
35430894,Ontario,345,0.668,-0.423,0.674,0.948
35430895,Ontario,405,0.846,-0.69,0.714,0.149
35430896,Ontario,540,0.187,-0.633,0.925,0.293
35430897,Ontario,1160,0.554,-0.558,2.646,-1.052
35430898,Ontario,800,1.518,-0.492,1.481,0.322
35430899,Ontario,2410,0.858,-0.569,2.423,-1.114
35430901,Ontario,495,1.651,-0.21,0.21,0.266
35430902,Ontario,1820,-0.458,-0.355,-0.671,-0.855
35430903,Ontario,650,-0.804,-0.733,0,-1.045
35430904,Ontario,480,-0.569,-0.679,-0.958,-0.254
35430905,Ontario,655,-0.959,-0.703,-1.016,-0.755
35430906,Ontario,570,-0.593,-0.614,-0.359,-0.666
35430907,Ontario,390,-0.737,-0.893,0.015,-0.263
35430908,Ontario,380,-0.088,-0.862,0.67,0.151
35430909,Ontario,405,0.324,-0.732,0.188,-0.033
35430910,Ontario,430,-0.696,-0.396,-0.742,-0.15
35430911,Ontario,520,-0.427,-0.678,0.655,-0.344
35430912,Ontario,440,-0.766,-0.705,0.098,-0.659
35430913,Ontario,625,0.062,-0.631,1.418,-0.222
35430914,Ontario,930,-0.455,-0.442,1.009,-0.176
35430915,Ontario,540,-0.283,-0.333,1.356,0.096
35430917,Ontario,835,-0.637,-0.712,0.8,-0.326
35430919,Ontario,890,-1.127,-0.75,0.655,-0.022
35430920,Ontario,505,-0.729,-0.552,0.32,0.151
35430921,Ontario,555,-0.475,-0.497,0.715,0.005
35430922,Ontario,620,-0.97,-0.564,-0.41,-0.089
35430923,Ontario,785,-0.795,-0.662,-0.566,-0.349
35430925,Ontario,615,0.422,-0.681,0.9,-0.325
35430926,Ontario,660,0.062,-0.646,-0.197,-0.187
35430927,Ontario,535,-0.16,-0.78,-0.789,-0.234
35430929,Ontario,390,-0.464,-0.919,-0.587,-0.424
35430930,Ontario,935,-0.411,-0.417,0.911,-0.703
35430931,Ontario,1215,0.314,-0.45,3.231,-0.253
35430932,Ontario,885,-0.037,-0.475,2.041,0.272
35430933,Ontario,585,-0.408,-0.369,0.703,0.401
35430934,Ontario,780,-0.226,-0.296,1.272,-0.038
35430935,Ontario,625,-0.763,-0.325,2.5,-0.827
35430936,Ontario,525,-0.564,-0.551,2.23,-0.462
35430937,Ontario,605,-0.428,-0.487,1.073,-0.034
35430938,Ontario,1525,-0.287,-0.279,1.361,-0.576
35430939,Ontario,1480,-0.372,-0.399,0.589,-0.15
35430940,Ontario,545,-0.342,-0.529,1.333,0.063
35430941,Ontario,445,1.452,-0.52,1.232,0.737
35430942,Ontario,775,-0.105,-0.436,1.368,-0.279
35430943,Ontario,680,0.544,-0.465,0.897,-0.058
35430944,Ontario,360,0.706,-0.421,1.498,0.443
35430945,Ontario,760,-0.482,-0.363,0.382,0.459
35430946,Ontario,1320,-0.538,-0.619,2.492,-0.82
35430947,Ontario,625,-0.215,-0.303,0.671,-0.061
35430948,Ontario,1270,-0.432,-0.333,1.869,-0.637
35430949,Ontario,720,-0.801,-0.529,0.291,-0.291
35430950,Ontario,1540,-0.963,-0.317,0.515,-0.838
35430951,Ontario,325,-0.596,-0.72,-0.677,-0.038
35430952,Ontario,410,-0.718,-0.555,-0.11,-0.502
35430953,Ontario,2520,0.159,-0.317,2.484,-0.427
35430954,Ontario,515,-1.151,-0.779,-0.068,-0.233
35430955,Ontario,825,-1.142,-0.565,-0.659,-0.902
35430956,Ontario,1065,-1.107,-0.583,-0.435,-0.42
35430957,Ontario,440,-1.052,-0.763,-0.36,-0.831
35430958,Ontario,1110,-1.26,-0.494,-0.936,-0.993
35430959,Ontario,690,-0.799,-0.659,-0.563,-0.352
35430960,Ontario,2950,-0.475,0.158,-0.993,-0.934
35430961,Ontario,495,-0.533,-0.721,-0.088,-0.731
35430962,Ontario,525,-0.69,-0.665,-0.516,0.193
35430963,Ontario,595,-0.769,-0.669,-0.876,-0.401
35430964,Ontario,710,-0.819,-0.58,0.079,-0.362
35430965,Ontario,655,-0.909,-0.407,-0.479,-0.825
